Id,Expected
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,0
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,1
